仓库名,星数,语言,更新时间,项目描述,话题标签,是否支持捐赠,是否有Issues,仓库ID,类型
zhm-real/<em>PathPlanning</em>,9286,Python,2023-02-06T07:54:46.480Z,Common used <em>path</em> <em>planning</em> algorithms with animations.,"astar,rrt,path-planning,rrt-star,dstar,informed-rrt-star,rrt-connect,anytime-repairing-astar,learning-realtime-astar,realtime-adaptive-astar,lifelong-planning-astar,dstar-lite,anytime-dstar,dynamic-rrt,extended-rrt,fast-marching-trees,rrt-star-smart,batch-informed-trees",False,True,272811260,Public
zhm-real/Motion<em>Planning</em>,2693,Python,2024-01-13T06:05:01.636Z,Motion <em>planning</em> algorithms commonly used on autonomous vehicles. (<em>path</em> <em>planning</em> + <em>path</em> tracking),"tracking,stanley,mpc,autonomous-vehicles,path-tracking,lqr,pathplanning,frenet-frames,pure-pursuit,motion-planning-algorithms,stanley-controller,hybrid-astar,rear-wheel-feedback,front-wheel-feedback,state-lattice-planner",False,True,278173871,Public
udacity/CarND-<em>Path</em>-<em>Planning</em>-Project,359,C++,2022-07-06T20:38:23.038Z,Create a <em>path</em> planner that is able to navigate a car safely around a virtual highway,,False,True,94139549,Public
atb033/multi_agent_<em>path</em>_<em>planning</em>,1452,Python,2023-04-05T15:02:42.445Z,Python implementation of a bunch of multi-robot <em>path</em>-<em>planning</em> algorithms.,"path-planning,multi-agent-systems,multi-robot,multi-agent-path-finding,velocity-obstacles",False,True,184384043,Public
yrlu/quadrotor,1110,MATLAB,2024-05-05T00:36:38.884Z,"Quadrotor control, <em>path</em> <em>planning</em> and trajectory optimization","uav,drone,controller,astar,path-planning,planning,quadrotor,trajectory-optimization,pd-controller,dijstra,trajectory-planning,unmanned-aerial-vehicle",True,True,90555661,Public
vss2sn/<em>path</em>_<em>planning</em>,446,C++,2022-11-16T00:34:37.367Z,This repository contains <em>path</em> <em>planning</em> algorithms in C++ for a grid based search.,"grid,genetic-algorithm,astar,motion-planning,rrt,path-planning,rrt-star,dijkstra,ant-colony-optimization,aco,d-star-lite,dstarlite,jump-point-search,pathplanning,lpastar,dstar-lite",False,True,171141154,Public
ayushgaud/<em>path</em>_<em>planning</em>,414,C++,2022-08-29T09:35:05.326Z,Quadcopter <em>path</em> <em>planning</em> using RRT* and minimum jerk trajectory generation,"path-planning,ros,trajectory-generation,ompl,octomap",False,True,87572727,Public
Strange-AI/frenet_<em>path</em>_<em>planning</em>,486,Python,2019-01-28T12:08:35.322Z,无人车路径规划算法demo,,False,True,167955975,Public
nalin1096/<em>path</em>_<em>planning</em>,250,C++,2015-02-23T07:16:16.157Z,A <em>path</em> <em>planning</em> algorithm based on RRT implemented using ROS. ,,False,True,31196872,Public
onlytailei/CppRobotics,2202,C++,2024-03-08T13:25:58.729Z,"cpp implementation of robotics algorithms including localization, mapping, SLAM, <em>path</em> <em>planning</em> and control","localization,algorithms,cpp,robotics,planning",False,True,178146605,Public
JORKER1755/<em>PathPlanning</em>,361,Python,2022-03-25T09:00:46.139Z,Deep Reinforcement Learning based Adaptive Real-time <em>Path</em> <em>Planning</em> for UAV,,False,True,415856005,Public
ethz-asl/mav_active_3d_<em>planning</em>,695,C++,2025-08-14T10:33:39.396Z,Modular framework for online informative <em>path</em> <em>planning</em>.,"drone,path,path-planning,planning,mav,ipp",False,True,154641455,Public
rishabh1b/RealTime<em>PathPlanning</em>,338,C++,2018-02-05T22:50:03.147Z,Sampling based rewiring approaches to solve motion <em>planning</em> problems for a robot with dynamic obstacles,"openframeworks,path-planning,rt-rrt-star,informed-rrt-star,dynamic-obstacles",False,True,89104465,Public
0voice/Career_<em>planning</em>_<em>path</em>,1351,,2025-08-18T07:35:21.645Z,2025年程序员找工作求职最新总结，学生阶段的困境解决，从简历到面试的全方位解析，从实习到全职的学习规划，就业必备技能与资源推荐。,"c,cpp,learn",False,True,1035802033,Public
LiJiangnanBit/<em>path</em>_optimizer,591,C++,2023-10-24T01:17:19.589Z,Optimization-based real-time <em>path</em> <em>planning</em> for vehicles. ,"robotics,path-planning,autonomous-driving,quadratic-programming,path-optimization,osqp,osqp-eigen",False,True,240216878,Public
henbudidiao/UAV-<em>path</em>-<em>planning</em>,718,Python,2025-08-27T13:45:06.014Z,Multi/Single UAV(unmanned aerial vehicle) <em>path</em> <em>planning</em> based on deep reinforcement learning,,False,True,742838181,Public
xuedidi/<em>path</em>_<em>planning</em>,197,MATLAB,2019-01-11T14:12:48.893Z,路径规划算法,,False,True,165253892,Public
zhaohaojie1998/<em>Path-Planning</em>,443,Python,2023-08-02T07:28:34.501Z,路径规划算法，A*，A-star启发搜索，Hybrid-A*，混合A*算法，Dijkstra迪杰斯特拉算法，GBFS贪婪最佳优先搜索算法，DFS深度优先搜索，BFS广度优先搜索算法等，车辆路径规划算法，小黑子路径规划,"opencv,path-planning,a-star,dijkstra,breadth-first-search,depth-first-search,hybrid-a-star,ikun,greedy-best-first-search",False,True,643150353,Public
peterWon/CleaningRobot,287,C++,2020-11-28T10:45:57.765Z,<em>Path</em> <em>planning</em> and tracking using ROS,,False,True,103656104,Public
LazyFalcon/D_star_<em>PathPlanning</em>,153,MATLAB,2019-03-21T07:43:16.908Z,"Simple Matlab implementation of D*Lite, Focussed D*, A*, for dynamic <em>path</em> <em>planning</em> for mobile robots",,False,True,21042695,Public archive
Fields2Cover/Fields2Cover,809,C++,2026-05-21T20:12:34.188Z,Robust and efficient coverage <em>paths</em> for autonomous agricultural vehicles. A modular and extensible Coverage <em>Path</em> <em>Planning</em> library,"agriculture,path-planning,cpp17,autonomous-vehicles,coverage-path-planning",False,True,501080115,Public
mjansen4857/<em>pathplanner</em>,485,Dart,2026-04-26T02:39:02.977Z,A simple yet powerful <em>path</em> <em>planning</em> tool for FRC robots,,False,True,130622184,Public
CoderWangcai/DRL_<em>Path</em>_<em>Planning</em>,272,Python,2019-09-01T15:15:51.741Z,This is a DRL(Deep Reinforcement Learning) platform built with Gazebo for the purpose of robot's adaptive <em>path</em> <em>planning</em>.,,False,True,204273610,Public
RicheyHuang/CoveragePlanner,340,C++,2020-08-06T09:07:39.846Z,Complete Coverage <em>Path</em> <em>Planning</em> Using BCD Algorithm,path-planning,False,True,285509752,Public
rlnav/motion_<em>planning</em>,409,Jupyter Notebook,2025-03-06T11:18:34.872Z,"Robot <em>path</em> <em>planning</em>, mapping and exploration algorithms","rrt,path-planning,random-walk,apf,coverage-path-planning,exploration-method,multi-robot-path-planning",False,True,164224571,Public
nobleo/full_coverage_<em>path</em>_planner,667,C++,2025-05-27T17:42:44.557Z,Full coverage <em>path</em> <em>planning</em> provides a move_base_flex plugin that can <em>plan</em> a <em>path</em> that will fully cover a given area,,False,True,269572838,Public
zhaohaojie1998/DRL-for-<em>Path</em>-<em>Planning</em>,571,Python,2025-12-03T12:08:29.586Z,"深度强化学习路径规划, SAC路径规划, Soft Actor-Critic算法, SAC-pytorch，激光雷达Lidar避障，激光雷达仿真，Adaptive-SAC","path-planning,lidar,sac,gym-environment,soft-actor-critic,drl-path-planning,sac-pytorch,drl-pytorch,lidar-simulation,obstacles-avoidance,sac-path-planning,path-planning-environment,adaptive-sac",False,True,642233066,Public
HaiderAbasi/ROS2-<em>Path</em>-<em>Planning</em>-and-Maze-Solving,239,Python,2024-03-22T12:54:03.833Z,Developing a maze solving robot in ROS2 that leverages information from a drone or Satellite's camera using OpenCV algorithms to find its <em>p…</em>,"python,opencv,robotics,navigation,mapping,astar-algorithm,path-planning,ros,depth-first-search,mazesolving,dijikstra-algorithm",False,True,399864768,Public
zhaohaojie1998/Grey-Wolf-Optimizer-for-<em>Path</em>-<em>Planning</em>,746,MATLAB,2025-12-05T11:45:08.424Z,灰狼优化算法(GWO)路径规划/轨迹规划/轨迹优化、多智能体/多无人机航迹规划,"uav,path-planning,trajectory-optimization,multi-agent-systems,gwo,grey-wolf-optimizer",False,True,537673138,Public
whoenig/libMultiRobot<em>Planning</em>,1011,C++,2023-08-10T05:42:02.359Z,Library with search algorithms for task and <em>path</em> <em>planning</em> for multi robot/agent systems,,False,True,109744876,Public
mikolalysenko/l1-<em>path</em>-finder,511,JavaScript,2016-05-18T18:44:17.122Z,🗺 Fast <em>path</em> <em>planning</em> for 2D grids,,False,True,34187543,Public
gabrielegilardi/<em>PathPlanning</em>,124,Python,2022-01-30T02:34:14.941Z,Implementation of particle swarm optimization (PSO) for <em>path</em> <em>planning</em> when the environment is known.,"python,path-planning,spline,penalty,particle-swarm-optimization,obstacle-violations",False,False,343077231,Public
ros-industrial/noether,166,C++,2026-01-08T22:49:49.721Z,Tool <em>path</em> <em>planning</em> and surface segmenter,"ros,ros-industrial",False,True,90146416,Public
sourishg/rrt-simulator,103,C++,2023-01-23T19:55:29.075Z,<em>Path</em> <em>planning</em> using RRT,"robotics,rrt,path-planning",False,True,43582176,Public
LiJiangnanBit/<em>path</em>_optimizer_2,225,C++,2025-11-30T12:24:22.998Z,Optimization-based real-time <em>path</em> <em>planning</em> for vehicles. ,"robotics,path-planning,autonomous-driving,path-optimization",False,True,417702402,Public
Ming2zun/Farmland-<em>Path</em>-<em>Planning</em>,130,Python,2025-11-14T08:11:54.138Z,Farmland cover <em>path</em> <em>planning</em>,,False,True,802414724,Public
RicheyHuang/BoustrophedonCellularDecomposition<em>PathPlanning</em>,154,C++,2020-12-07T05:02:08.617Z,Complete Coverage <em>Path</em> <em>Planning</em> Using Boustrophedon Cellular Decomposition Algorithm,,False,True,203933005,Public
