仓库名,星数,语言,更新时间,项目描述,话题标签,是否支持捐赠,是否有Issues,仓库ID,类型
aapatel09/handson-<em>unsupervised</em>-<em>learning</em>,700,Jupyter Notebook,2026-03-01T16:04:30.926Z,Code for Hands-on <em>Unsupervised</em> <em>Learning</em> Using Python (O'Reilly Media),"machine-learning,deep-learning,clustering,artificial-intelligence,generative-adversarial-network,unsupervised-learning,autoencoders,anomaly-detection",False,True,147329065,Public
voxelmorph/voxelmorph,2721,Python,2026-05-18T22:03:44.508Z,<em>Unsupervised</em> <em>Learning</em> for Image Registration,"machine-learning,deep-learning,diffeomorphism,optical-flow,unsupervised-learning,probabilistic,image-registration,image-alignment",False,True,133389787,Public
amaas/stanford_dl_ex,2623,,2021-05-12T19:51:42.092Z,Programming exercises for the Stanford <em>Unsupervised</em> Feature <em>Learning</em> and Deep <em>Learning</em> Tutorial,,False,True,13078678,Public
White-Link/<em>UnsupervisedScalableRepresentationLearning</em>TimeSeries,405,Jupyter Notebook,2024-07-31T15:37:50.500Z,<em>Unsupervised</em> Scalable Representation <em>Learning</em> for Multivariate Time Series: Experiments,"machine-learning,deep-learning,time-series,pytorch,neural-networks,triplet-loss,time-series-classification,neurips-2019,ucr-archive,uea-archive",False,True,167964834,Public
jatinshah/ufldl_tutorial,697,Python,2014-06-07T15:55:56.012Z,Stanford <em>Unsupervised</em> Feature <em>Learning</em> and Deep <em>Learning</em> Tutorial,"deep-learning,convolutional-neural-networks,deep-learning-tutorial",False,True,19301646,Public
VivekPa/AIAlpha,1925,Python,2020-06-18T05:37:24.513Z,Use <em>unsupervised</em> and supervised <em>learning</em> to predict stocks,"python,machine-learning,artificial-intelligence,lstm,yahoo-finance-api,stock-price-prediction,autoencoder,artificial-neural-networks,trading-strategies,quantitative-finance,algorithmic-trading,wavelet-transform",False,True,151904296,Public
facebookresearch/deepcluster,1746,Python,2021-10-12T21:32:33.123Z,Deep Clustering for <em>Unsupervised</em> <em>Learning</em> of Visual Features,,False,True,144161174,Public archive
danluu/UFLDL-tutorial,393,Jupyter Notebook,2017-06-14T04:38:49.080Z,Deep <em>Learning</em> and <em>Unsupervised</em> Feature <em>Learning</em> Tutorial Solutions,,False,True,13934392,Public
mangye16/<em>Unsupervised</em>_Embedding_<em>Learning</em>,210,Python,2019-06-29T06:35:59.058Z,Code for <em>Unsupervised</em> Embedding <em>Learning</em> via Invariant and Spreading Instance Feature,,False,True,179406892,Public
miyosuda/unreal,422,Python,2019-02-13T17:15:31.498Z,Reinforcement <em>learning</em> with <em>unsupervised</em> auxiliary tasks,"reinforcement-learning,tensorflow,unreal,deepmind-lab",False,True,76117826,Public
SISBID/<em>Unsupervised-Learning</em>,52,HTML,2025-07-26T20:22:34.048Z,,,False,True,36513468,Public
hrhodin/<em>UnsupervisedGeometryAwareRepresentationLearning</em>,124,Python,2019-11-09T05:56:26.394Z,<em>Unsupervised</em> Geometry-Aware Representation <em>Learning</em> for 3D Human Pose Estimation (ECCV 2018),,False,True,147506809,Public
eelxpeng/<em>UnsupervisedDeepLearning</em>-Pytorch,92,Python,2018-01-27T03:13:03.797Z,This repository tries to provide <em>unsupervised</em> deep <em>learning</em> models with Pytorch,"deep-learning,unsupervised,pytorch,generative-adversarial-network,autoencoder,denoising-autoencoders,variational-autoencoders",False,True,109228944,Public
tinghuiz/SfMLearner,2017,Jupyter Notebook,2021-10-26T05:58:09.404Z,An <em>unsupervised</em> <em>learning</em> framework for depth and ego-motion estimation from monocular videos,"deep-learning,unsupervised-learning,visual-odometry,depth-prediction,self-supervised-learning",False,True,89383667,Public
zhirongw/lemniscate.pytorch,759,Python,2021-03-25T17:34:06.805Z,<em>Unsupervised</em> Feature <em>Learning</em> via Non-parametric Instance Discrimination,"computer-vision,deep-learning,pytorch,imagenet,representation-learning,unsupervised-learning,nce,cvpr2018,self-supervised-learning",False,True,132115652,Public
HackerPoet/FaceEditor,436,Python,2019-05-20T23:58:36.368Z,<em>Unsupervised</em> <em>learning</em> to find facial features.,,False,True,143579471,Public
ContentUpgrad/<em>Unsupervised</em>-<em>Learning</em>-Clustering,11,Jupyter Notebook,2022-04-25T10:52:38.838Z,,,False,True,440140299,Public
mansimov/<em>unsupervised</em>-videos,362,Cuda,2018-03-06T02:55:46.447Z,<em>Unsupervised</em> <em>Learning</em> of Video Representations using LSTMs,,False,True,48787669,Public
