仓库名,星数,语言,更新时间,项目描述,话题标签,是否支持捐赠,是否有Issues,仓库ID,类型
HandsOnLLM/Hands-On-<em>Large</em>-<em>Language</em>-Models,26465,Jupyter Notebook,2026-04-24T10:20:08.804Z,"Official code repo for the O'Reilly Book - ""Hands-On <em>Large</em> <em>Language</em> <em>Models</em>""","book,artificial-intelligence,oreilly,oreilly-books,large-language-models,llm,llms",False,True,821372392,Public
BradyFU/Awesome-Multimodal-<em>Large</em>-<em>Language</em>-Models,17826,,2026-05-01T08:03:37.367Z,✨✨Latest Advances on Multimodal <em>Large</em> <em>Language</em> <em>Models</em>,"multi-modality,instruction-following,in-context-learning,large-language-models,chain-of-thought,instruction-tuning,visual-instruction-tuning,large-vision-language-model,multimodal-instruction-tuning,large-vision-language-models,multimodal-large-language-models,multimodal-in-context-learning,multimodal-chain-of-thought",False,True,642642539,Public
databricks-academy/<em>large</em>-<em>language</em>-models,824,Python,2024-05-23T05:30:56.885Z,Notebooks for <em>Large</em> <em>Language</em> <em>Models</em> (LLMs) Specialization,,False,True,648714275,Public
skindhu/Build-A-<em>Large</em>-<em>Language</em>-<em>Model</em>-CN,3697,HTML,2025-09-07T01:02:42.198Z,《Build a <em>Large</em> <em>Language</em> <em>Model</em> (From Scratch)》是一本深入探讨大语言模型原理与实现的电子书，适合希望深入了解 GPT 等大模型架构、训练过程及应用开发的学习者。为了让更多中文读者能够接触到这本极具价值的教材，我决定将其翻译成中文，并…,,False,True,877083237,Public
afshinea/stanford-cme-295-transformers-<em>large</em>-<em>language</em>-models,4409,,2025-07-27T16:19:42.292Z,VIP cheatsheet for Stanford's CME 295 Transformers and <em>Large</em> <em>Language</em> <em>Models</em>,,False,True,953552618,Public
peremartra/<em>Large</em>-<em>Language</em>-<em>Model</em>-Notebooks-Course,1804,Jupyter Notebook,2026-05-15T07:04:32.824Z,Practical course about <em>Large</em> <em>Language</em> <em>Models</em>. ,"transformers,chatbots,pruning,hf,huggingface,vector-database,large-language-models,langchain,fine-tuning-llm,peft-fine-tuning-llm",False,True,635059080,Public
MuhammadMoinFaisal/<em>LargeLanguage</em>ModelsProjects,390,Jupyter Notebook,2024-09-08T12:26:29.419Z,<em>Large</em> <em>Language</em> <em>Model</em> Projects,,False,True,662534359,Public
bbruceyuan/Hands-On-<em>Large</em>-<em>Language</em>-Models-CN,2576,Jupyter Notebook,2026-05-04T12:09:42.481Z,中文翻译的 Hands-On-<em>Large</em>-<em>Language</em>-<em>Models</em> (hands-on-llms)，动手学习大模型,"llms,hands-on-llm,hans-on-llms,hands-on-transformers",False,True,871211266,Public
guidance-ai/guidance,21473,Jupyter Notebook,2026-05-21T17:08:04.131Z,A guidance <em>language</em> for controlling <em>large</em> <em>language</em> <em>models</em>.,,False,True,564443255,Public
huggingface/text-generation-inference,10856,Python,2026-03-21T11:34:22.836Z,<em>Large</em> <em>Language</em> <em>Model</em> Text Generation Inference,"nlp,bloom,deep-learning,inference,pytorch,falcon,transformer,gpt,starcoder",False,True,547806116,Public archive
VincentGranville/<em>Large</em>-<em>Language</em>-Models,474,TeX,2025-07-13T02:56:21.829Z,"xLLM 1.0, smart crawling, knowledge graph discovery. ","rag,llm,xllm",False,True,732746824,Public
Hannibal046/Awesome-LLM,26843,,2025-07-31T02:38:24.222Z,Awesome-LLM: a curated list of <em>Large</em> <em>Language</em> <em>Model</em>,,False,True,603049672,Public
sgl-project/sglang,28157,Python,2026-05-23T16:25:08.882Z,SGLang is a high-performance serving framework for <em>large</em> <em>language</em> <em>models</em> and multimodal <em>models</em>.,"reinforcement-learning,cuda,inference,transformer,moe,attention,llama,glm,minimax,wan,diffusion,vlm,blackwell,llm,qwen,deepseek,gpt-oss,qwen-image",False,True,740303686,Public
mlabonne/llm-course,79573,,2026-02-05T13:09:26.816Z,Course to get into <em>Large</em> <em>Language</em> <em>Models</em> (LLMs) with roadmaps and Colab notebooks.,"machine-learning,roadmap,course,large-language-models,llm",False,True,655099582,Public
OWASP/www-project-top-10-for-<em>large</em>-<em>language</em>-<em>model</em>-applications,1260,Python,2026-04-27T03:51:06.106Z,OWASP Top 10 for <em>Large</em> <em>Language</em> <em>Model</em> Apps (Part of the GenAI Security Project),"ai,appsec,llm,llm-security",True,True,641487831,Public
guardrails-ai/guardrails,6906,Python,2026-05-19T15:12:12.594Z,Adding guardrails to <em>large</em> <em>language</em> <em>models</em>.,"ai,openai,gpt-3,llm,foundation-model",False,True,594609262,Public
rohan-paul/LLM-FineTuning-<em>Large</em>-<em>Language</em>-Models,574,Jupyter Notebook,2025-04-01T21:05:06.696Z,LLM (<em>Large</em> <em>Language</em> <em>Model</em>) FineTuning,"pytorch,gpt-3,large-language-models,llm,llm-serving,gpt3-turbo,llm-training,llm-inference,open-source-llm,llama2,llm-finetuning,mistral-7b",False,True,708552127,Public
arcee-ai/mergekit,7097,Python,2026-05-06T05:15:16.091Z,Tools for merging pretrained <em>large</em> <em>language</em> <em>models</em>.,"llama,llm,model-merging",False,True,681002458,Public
GreyDGL/PentestGPT,13247,Python,2026-02-23T15:48:40.676Z,Automated Penetration Testing Agentic Framework Powered by <em>Large</em> <em>Language</em> <em>Models</em>,"python,penetration-testing,large-language-models,llm",False,True,607013954,Public
simonw/llm,11916,Python,2026-05-17T01:38:18.575Z,Access <em>large</em> <em>language</em> <em>models</em> from the command-line,"ai,openai,llms",True,True,622352364,Public
AI4Finance-Foundation/FinGPT,20274,Jupyter Notebook,2026-05-11T07:48:37.646Z,FinGPT: Open-Source Financial <em>Large</em> <em>Language</em> <em>Models</em>! Revolutionize 🔥 We release the trained <em>model</em> on HuggingFace.,"nlp,finance,machine-learning,reinforcement-learning,sentiment-analysis,pytorch,fintech,technical-analysis,robo-advisor,large-language-models,prompt-engineering,chatgpt,fingpt",False,True,600544354,Public template
OpenNMT/OpenNMT-py,7001,Python,2025-10-14T17:32:07.281Z,Open Source Neural Machine Translation and (<em>Large</em>) <em>Language</em> <em>Models</em> in PyTorch,"deep-learning,machine-translation,pytorch,neural-machine-translation,language-model,llms",False,True,82841862,Public
yfzhang114/Awesome-Multimodal-<em>Large</em>-<em>Language</em>-Models,1127,,2026-05-19T05:36:06.625Z,"Reading notes about Multimodal <em>Large</em> <em>Language</em> <em>Models</em>, <em>Large</em> <em>Language</em> <em>Models</em>, and Diffusion <em>Models</em>",,False,True,779572858,Public
MineDojo/Voyager,6924,JavaScript,2024-04-03T18:51:36.239Z,An Open-Ended Embodied Agent with <em>Large</em> <em>Language</em> <em>Models</em>,"minecraft,large-language-models,open-ended-learning,embodied-learning",False,True,645471238,Public
Yangyi-Chen/Multimodal-AND-<em>Large</em>-<em>Language</em>-Models,759,,2026-05-21T19:17:08.559Z,"Paper list about multimodal and <em>large</em> <em>language</em> <em>models</em>, only used to record papers I read in the daily arxiv for personal needs.","machine-learning,multimodal,large-language-models,general-purpose-model",False,True,529954479,Public
chenweiphd/<em>LargeLanguageModel</em>-and-GPT-4-ResourceMap,368,,2023-07-25T06:05:20.908Z,,,False,True,596846494,Public
Tiiny-AI/PowerInfer,9487,C++,2026-05-11T06:48:06.925Z,High-speed <em>Large</em> <em>Language</em> <em>Model</em> Serving for Local Deployment,"llama,large-language-models,llm,local-inference,llm-inference",False,True,731842419,Public
QwenLM/Qwen3,27246,Python,2026-01-09T03:05:47.357Z,"Qwen3 is the <em>large</em> <em>language</em> <em>model</em> series developed by Qwen team, Alibaba Cloud.",,False,True,752925682,Public
