仓库名,星数,语言,更新时间,项目描述,话题标签,是否支持捐赠,是否有Issues,仓库ID,类型
dennybritz/<em>reinforcement-learning</em>,22016,Jupyter Notebook,2023-07-13T09:52:27.235Z,"Implementation of <em>Reinforcement</em> <em>Learning</em> Algorithms. Python, OpenAI Gym, Tensorflow. Exercises and Solutions to accompany Sutton's Book a…",,True,True,66483240,Public
ShangtongZhang/<em>reinforcement</em>-<em>learning</em>-an-introduction,14657,Python,2024-08-09T01:09:15.752Z,Python Implementation of <em>Reinforcement</em> <em>Learning</em>: An Introduction,"reinforcement-learning,artificial-intelligence",False,True,68125931,Public
MorvanZhou/<em>Reinforcement</em>-<em>learning</em>-with-tensorflow,9458,Python,2024-03-31T05:40:51.497Z,"Simple <em>Reinforcement</em> <em>learning</em> tutorials, 莫烦Python 中文AI教学","machine-learning,tutorial,reinforcement-learning,q-learning,dqn,policy-gradient,sarsa,tensorflow-tutorials,a3c,deep-q-network,ddpg,actor-critic,asynchronous-advantage-actor-critic,double-dqn,prioritized-replay,sarsa-lambda,dueling-dqn,deep-deterministic-policy-gradient,proximal-policy-optimization,ppo",False,True,90433420,Public
udacity/deep-<em>reinforcement</em>-<em>learning</em>,5164,Jupyter Notebook,2023-11-16T01:05:06.605Z,Repo for the Deep <em>Reinforcement</em> <em>Learning</em> Nanodegree program,"reinforcement-learning,deep-reinforcement-learning,openai-gym,pytorch,dqn,neural-networks,reinforcement-learning-algorithms,dynamic-programming,hill-climbing,ddpg,cross-entropy,openai-gym-solutions,pytorch-rl,ppo,ml-agents,rl-algorithms",False,True,140018843,Public
andri27-ts/<em>Reinforcement-Learning</em>,4717,Jupyter Notebook,2020-06-30T11:38:42.764Z,Learn Deep <em>Reinforcement</em> <em>Learning</em> in 60 days! Lectures &amp; Code in Python. <em>Reinforcement</em> <em>Learning</em> + Deep <em>Learning</em>,"machine-learning,reinforcement-learning,qlearning,deep-learning,deep-reinforcement-learning,artificial-intelligence,dqn,deepmind,evolution-strategies,ppo,a2c,policy-gradients",False,True,146435045,Public
rlcode/<em>reinforcement-learning</em>,3638,Python,2026-05-23T13:17:32.575Z,Minimal and Clean <em>Reinforcement</em> <em>Learning</em> Examples,"machine-learning,reinforcement-learning,deep-learning,deep-reinforcement-learning,dqn,policy-gradient,a3c,deep-q-network,actor-critic",False,True,78835091,Public
MathFoundationRL/Book-Mathematical-Foundation-of-<em>Reinforcement</em>-<em>Learning</em>,16260,MATLAB,2026-05-09T12:52:38.435Z,"This is the homepage of a new book entitled ""Mathematical Foundations of <em>Reinforcement</em> <em>Learning</em>.""","reinforcement-learning,book,tutorials,artificial-intelligence,courses",False,False,522133400,Public
simoninithomas/Deep_<em>reinforcement</em>_<em>learning</em>_Course,3903,Jupyter Notebook,2023-05-02T12:25:40.072Z,Implementations from the free course Deep <em>Reinforcement</em> <em>Learning</em> with Tensorflow and PyTorch,"qlearning,deep-learning,unity,tensorflow,deep-reinforcement-learning,pytorch,tensorflow-tutorials,deep-q-network,actor-critic,deep-q-learning,ppo,a2c",False,True,126685014,Public
aikorea/awesome-rl,9763,,2023-05-25T22:25:44.814Z,<em>Reinforcement</em> <em>learning</em> resources curated,,False,True,40465212,Public
AppliedDataSciencePartners/Deep<em>ReinforcementLearning</em>,2034,Jupyter Notebook,2022-11-21T22:18:26.328Z,A replica of the AlphaZero methodology for deep <em>reinforcement</em> <em>learning</em> in Python,,False,True,118919576,Public
PacktPublishing/Deep-<em>Reinforcement</em>-<em>Learning</em>-Hands-On,3093,Python,2026-03-02T14:35:56.399Z," Hands-on Deep <em>Reinforcement</em> <em>Learning</em>, published by Packt",,False,True,125461170,Public
sweetice/Deep-<em>reinforcement</em>-<em>learning</em>-with-pytorch,4628,Python,2023-03-24T23:36:09.859Z,"PyTorch implementation of DQN, AC, ACER, A2C, A3C, PG, DDPG, TRPO, PPO, SAC, TD3 and ....","algorithm,deep-learning,deep-reinforcement-learning,pytorch,dqn,policy-gradient,sarsa,resnet,a3c,reinforce,sac,alphago,actor-critic,trpo,ppo,a2c,actor-critic-algorithm,td3",False,True,136681445,Public
