仓库名,星数,语言,更新时间,项目描述,话题标签,是否支持捐赠,是否有Issues,仓库ID,类型
fighting41love/fun<em>NLP</em>,80824,Python,2024-05-10T07:38:24.858Z,器、Microsoft多语言数字/单位/如日期时间识别包、中华新华字典数据库及api(包括常用歇后语、成语、词语和汉字)、文档图谱自动生成、SpaCy 中文模型、Common Voice语音识别数据集新版、神经网络关系抽取、基于bert的命名实体识别、关键词(Keyphra…,,False,True,145553672,Public
duoergun0729/<em>nlp</em>,2488,Python,2025-01-06T03:32:49.791Z,兜哥出品 &lt;一本开源的<em>NLP</em>入门书籍&gt;,"nlp,security,ai,word2vec,fasttext",False,True,127728085,Public
NLP-LOVE/ML-<em>NLP</em>,17685,Jupyter Notebook,2026-01-09T15:16:21.014Z,此项目是机器学习(Machine Learning)、深度学习(Deep Learning)、<em>NLP</em>面试中常考到的知识点和代码实现，也是作为一个算法工程师必会的理论基础知识。,"nlp,machine-learning,deep-learning",False,True,195408640,Public
sebastianruder/<em>NLP</em>-progress,22963,Python,2024-07-28T00:44:25.615Z,"Repository to track the progress in Natural Language Processing (<em>NLP</em>), including the datasets and the current state-of-the-art for the mo…","machine-learning,natural-language-processing,machine-translation,dialogue,named-entity-recognition,nlp-tasks",False,True,138331573,Public
graykode/<em>nlp</em>-tutorial,14897,Jupyter Notebook,2024-02-21T13:49:10.863Z,Natural Language Processing Tutorial for Deep Learning Researchers,"nlp,natural-language-processing,tutorial,tensorflow,paper,pytorch,transformer,attention,bert",False,True,164852596,Public
keon/awesome-<em>nlp</em>,18627,,2026-05-21T09:19:38.658Z,📖 A curated list of resources dedicated to Natural Language Processing (<em>NLP</em>),"nlp,language,machine-learning,natural-language-processing,text-mining,awesome,deep-learning,awesome-list",False,True,47184304,Public
PaddlePaddle/Paddle<em>NLP</em>,12947,Python,2026-05-23T02:54:28.845Z,Easy-to-use and powerful LLM and SLM library with awesome model zoo.,"nlp,search-engine,compression,sentiment-analysis,transformers,information-extraction,question-answering,llama,pretrained-models,embedding,bert,semantic-analysis,distributed-training,ernie,neural-search,uie,document-intelligence,paddlenlp,llm",False,True,336274588,Public
yandexdataschool/<em>nlp</em>_course,10556,Jupyter Notebook,2026-02-26T11:59:56.737Z,YSDA course in Natural Language Processing,,False,True,147919799,Public
stanfordnlp/Core<em>NLP</em>,10080,Java,2026-05-13T15:08:53.203Z,"CoreNLP: A Java suite of core <em>NLP</em> tools for tokenization, sentence segmentation, NER, parsing, coreference, sentiment analysis, etc.","nlp,natural-language-processing,named-entity-recognition,stanford-nlp,nlp-parsing",False,True,11008076,Public
oxford-cs-deepnlp-2017/lectures,15852,,2023-07-02T22:46:23.726Z, Oxford Deep <em>NLP</em> 2017 course,"nlp,machine-learning,natural-language-processing,deep-learning,oxford",False,True,81080671,Public
